Source;Planet;Traits;Legendary;Resources;Influence;Technology Specialities;Legendary Ability;Flavor Text
Base Game;Jord;;;4;2;;;Distinctly seasonal, with the greatest variety of climates and ecologies in the galaxy. The Federation of Sol rules the Jord humans from the great city of New Moscow.
Base Game;Moll Primus;;;4;1;;;In places lush and rich, in others a barren wasteland. This old Lazax penal colony has prospered under the rule of the governing Mentak Coalition.
Base Game;Darien;;;4;4;;;Darien is the heart of the brotherhood's realm. Here, within the great Monastery of Lucas, rests the Yin, the holy egg from which all the Brotherhood were made.
Base Game;Muaat;;;4;1;;;The fiery surface of Muaat is uninhabitable to most races. It is home to the Gashlai, and only here can they live outside of their cumbersome ember suits.
Base Game;Nestphar;;;3;2;;;The fungal world of Nestphar is home to the symbiotic Arborec. Nestphar's orbit is filled with Flaah spores that extend its Symphony.
Base Game;[0.0.0];;;5;0;;;This elusive energy-rich planet was the desperate destination of the secret Lazax diaspora. Now, it is a technological nightmare.
Base Game;Winnu;;;3;4;;;The shining cities of the Winnu are the last places where authentic Lazax art and culture are still revered.
Base Game;Mordai II;;;4;0;;;Mined to its bones by the virulent Nekro, Mordai II is reinforced by graviton energy beams that barely keep the world from collapsing in on itself.
Base Game;Maaluuk;;;0;2;;;Mostly pungent marshland and mudplains. Original world of the Naalu race, which now enslaves winged Miashan to work its great iron-extraction plants.
Base Game;Druaa;;;3;1;;;Despite its oversized poles, Druaa is one of the most beautiful planets. Its flowered steppes, violet mountains, and glowing forests are famous across the galaxy.
Base Game;Arc Prime;;;4;0;;;Below the thin surface of atmosphere lie the continent-sized caverns of the Letnev. Rich in metals and energy, its vast fungus fields struggle to feed its population.
Base Game;Wren Terra;;;2;1;;;Arid, windy, and populated primarily by predatory Daartar hounds. The Barony utilizes large swathes of its northern steppes for low-yield agriculture.
Base Game;Lisis II;;;1;0;;;The crystal caverns of Lisis II are the source of most of the Jorun colonists' water and foodstuffs. Notable for the great crescent-shaped valley of Gavar.
Base Game;Ragh;;;2;1;;;The capital colony of the Saar and the epicenter of the Saar religion. Also called "Ragh's Call" by the Saar.
Base Game;Nar;;;2;3;;;Covered by mild oceans and a small archipelago called The Reef by off-worlders. The Circle of Regents makes its home in the underwater city-school of Nuun-Dascha.
Base Game;Jol;;;1;2;;;Covered by cold oceans and a few inhospitable islands. The seat of the Headmaster, the Hylar ruler, dwells in the deep underwater city of Wun-Escha.
Base Game;Tren'lak;;;1;0;;;Icy and desolate. Other than the ferocious snow dracs and the rare icemoon flowers, life is restricted to the N'orr boomtowers and ice mines.
Base Game;Quinarra;;;3;1;;;Enormous and oceanless. Not only the largest planet supporting sentient life, but also the one with the least moisture. Home to the Sardakk N'orr hive-cities.
Base Game;Archon Ren;;;2;3;;;Populated by small arboreal villages, this planet's only true urban center is the royal city of Kklaj. The Xxcha home world and home to the renowned library of Xuun.
Base Game;Archon Tau;;;1;1;;;Ravaged by Sol and Letnev bombardments during the Twilight Wars. The Xxcha commit substantial resources to rebuilding its ecology and cleansing its toxic continents.
Base Game;Retillion;;;2;3;;;A mix of tundra, swamps, rivers, and dense forests. Home to the mysterious, chameleonic Yssaril, whose capital Wueca has eluded all attempts at cartography.
Base Game;Shalloq;;;1;2;;;Covered with tundra, wetlands, and rainforest, much like its sister-planet Retillion. Home to the Mojeb, the only major Yssaril city catalogued by off-worlders.
Base Game;Creuss;;;4;2;;;Trapped between matter and void lies the realm of the Creuss. Made of trapped light and radioactive gas, this realm hosts the most peculiar forms of life.
Base Game;Arretze;;;2;0;;;Also called the "Moving Sand." The desert home of the Hacan Mowshir trade families and the great orbital trading ports of Haal, Shimax, and Dry Wind.
Base Game;Hercant;;;1;1;;;Also called the "Fire Sand." Seat of the Quieron, the Hacan council, and the Sword Fleet. Harbors the greatest of the famous Hacan moving cities.
Base Game;Kamdorn;;;0;1;;;Also called the "Dream Sand." The least populated of the Hacan planets, but the center of Hacan mythology and religion. The only known source of starflowers.
Base Game;Mecatol Rex;;;1;6;;;Of all the planets in the galaxy, no planet was more war-torn than Mecatol Rex. Over the course of only a few years, the planet’s ecology was ravaged by bombardments, its population nearly wiped out, and its green fields blasted into a toxic wasteland.
Base Game;Abyz;Hazardous;;3;0;;;Its thick, complex atmosphere is inhospitable to most races, but Abyz is known for its seemingly endless natural reserves of rare minerals and precious metals.
Base Game;Fria;Hazardous;;2;0;;;Brutally cold ice world populated only by a few scattered mining camps. Despite brutal climate, highly prized for its deposits of rare ores used in starship drives.
Base Game;Arinam;Industrial;;1;2;;;Isolated planet poor in resources but rich in natural beauty. Boasts many exotic resorts frequented by the rich and famous of the galaxy.
Base Game;Meer;Hazardous;;0;4;Red;;Hellish world immolated in the inferno of its nearby sun. Famed for the fiery majesty of its surface when viewed from the safety of its many orbital stations.
Base Game;Arnor;Industrial;;2;1;;;Lush, green world that is renowned for some of the most fertile soil in the galaxy. Dominated by endless fields and the processing facilities of large agricultural firms.
Base Game;Lor;Industrial;;1;2;;;Wreathed in vast seas of methane ice. Sea floor drilling platforms harvest rare crystals used in advance computers and energy weapons.
Base Game;Bereg;Hazardous;;3;1;;;A frozen world that is inhospitable to most races. Indentured laborers risk attacks from arctic sharaks in the infamous Iodinium mines.
Base Game;Lirta IV;Hazardous;;2;3;;;Covered in vast swamps and fetid bogs. Home to rare biochemical compounds unique to its marshlands used in everything from exotic foods to biogenic drugs.
Base Game;Centauri;Cultural;;1;3;;;Venerable world with few resources but a rich history. Site of important treaties between several races during the Twilight Wars.
Base Game;Gral;Industrial;;1;1;Blue;;Backwater planet with modest resources and an unassuming populace. Most noted for the reliable and affordable vehicles produced in its factories.
Base Game;Corneeq;Cultural;;1;2;;;Former garden world that has subsequently enjoyed increased industrialization. Home to the esteemed Free Worlds Academy of Military Science and Research.
Base Game;Resculon;Cultural;;2;0;;;Poor in natural resources, but a nearby nexus of major trade routes has brought it increasing wealth as interstellar commerce has intensified.
Base Game;Dal Bootha;Cultural;;0;2;;;A populous planet whose resources have been severely depleted. Well-educated citizenry and many universities, but dependent on foreign imports.
Base Game;Xxehan;Cultural;;1;1;;;Known for genetically complex native lifeforms adapted to tainted atmosphere and biochemistry.
Base Game;Lazar;Industrial;;1;0;Yellow;;The only inhabited world in a forgettable system. Few native resources and only rudimentary, often underdeveloped, industries.
Base Game;Sakulag;Hazardous;;2;1;;;Jungle planet plagued by dangerous predators such as the arboreal razeden. Home to many exotic biochemicals and natural pharmaceuticals.
Base Game;Lodor;Cultural;;3;1;;;Wealthy planet ruled by powerful biotech consortiums. Rumored to harbor hidden caches of outlawed bacterial weapons.
Base Game;Mehar Xull;Hazardous;;1;3;Red;;Unstable radiation belts create hazardous living conditions but facilitate research in the electro-quantum propulsion technologies.
Base Game;Mellon;Cultural;;0;2;;;Poor in natural resources but rich in exotic plant and animal life. Protected as a planetary xenological garden and lifeform preserve.
Base Game;Zohbat;Hazardous;;3;1;;;Known for its highly intoxicating Zohlian whiskey and the planetary space elevator that links the surface with orbital stations and shipyards.
Base Game;New Albion;Industrial;;1;1;Green;;Rare atmospheric composition and biochemistry support lifeforms unlike any others in the galaxy.
Base Game;Starpoint;Hazardous;;3;1;;;Large planet with eight small moons that supply a wide range of valuable resources. Acidic rains and toxic storms make it an unappealing destination for tourists.
Base Game;Quann;Cultural;;2;1;;;Since the discovery of the Alpha Wormhole, this temperate planet with two continents and one large ocean has been a haven for traders and smugglers alike.
Base Game;Qucen'n;Industrial;;1;2;;;After the Twilight Wars, existed for centuries as a near-utopia of scattered communal farms free from governmental interference.
Base Game;Rarron;Cultural;;0;3;;;Large, populous world with three distinctive moons renowned for its biomodification clinics and cyber boutiques.
Base Game;Saudor;Industrial;;2;2;;;Prosperous planet with large native population and substantial industry. Extreme axial tilt results in long day-night cycle that some races find uncomfortable.
Base Game;Tar'Mann;Industrial;;1;1;Green;;Small, isolated planet with small population and modest resources. Most famous for its delicious avinberries.
Base Game;Tequ'ran;Hazardous;;2;0;;;Desolate planet transformed into weapons testing facility for large defense consortiums.
Base Game;Torkan;Cultural;;0;3;;;Populous planet almost completely dependent on foreign imports to sustain the extravagant lifestyles of its citizens.
Base Game;Thibah;Industrial;;1;1;Blue;;Burdened by overpopulation and low mineral content in the planetary crust. Historically used as a staging world for deep-space exploration and trade.
Base Game;Vefut II;Hazardous;;2;2;;;Massive, rocky world cursed with extreme gravity. Underground cities support advanced research in antigravity technologies.
Base Game;Wellon;Industrial;;1;2;Yellow;;Sky cities suspended in helium-rich atmosphere more noted for fantastic views than the small quantities of exotic elements harvested by their chemical mines.
Prophecy of Kings;Valk;;;2;0;;;Valk contains lodes of rare minerals and metals within its crust. Skyhooks bring ore shipments up from the surface to the open-air shipyards in orbit
Prophecy of Kings;Avar;;;1;1;;;Lighter than its companion worlds, Avar is riddled with caverns. The majority of the Atharal Torus lives in the bustling aeries within, sheltered from the radiation bursts emanating from nearby Phorus
Prophecy of Kings;Ylir;;;0;2;;;The smallest of the three planets in the Atharel Torus, Ylir is covered in kilometers of water. The Murmeration meets in platform cities that drift with the currents
Prophecy of Kings;The Dark;;;3;4;;;A massive nebula dominating the skies of many core worlds. Thick clouds of dust obscure its heart, a lightless refuge where Empyrean ships have congregated for millennia
Prophecy of Kings;Ixth;;;3;5;;;A dry, dead world of black volcanic mountains and molten seas of lava. The great necropolis of Aior Dol Gorgos on the Plateau Imperia is the only evidence of civilization.
Prophecy of Kings;Naazir;;;2;1;;;A small planet of high mountains and deep, narrow seas. Cities and vertical farms burrow into cliff faces, while orbital factories produce high-tech consumer goods
Prophecy of Kings;Rokha;;;1;2;;;Terraformed by comet-drops and Alliance biotech into a cool world with alpine forests and stormy seas. The city of Dormont Vault boasts the famous Exotic Energies Institute
Prophecy of Kings;Arcturus;;;4;4;;;Cold and still, with a surface buried beneath kilometers of ice. A few smuggler bases dot the surface, but Sumerian Station circles the planet, making it a vital trading destination
Prophecy of Kings;Elysium;;;4;1;;;Larger than a thousand terrestrial planets, Elysium is an artificial shell-world built around the powerful singularity in its hollow heart. Its surface is covered in calm seas and cultivated plants
Prophecy of Kings;Acheron;;;4;0;;;Once a dusty, dead world concealing a portal to Ixth. Now, a gravity rift has shattered the world, creating a labyrinth of strange energies and tumbling shards of rock
Prophecy of Kings;Archon Vail;Hazardous;;1;3;Blue;;A former Xxcha colony, its extremely low temperatures create exotic molecular compounds that give the world its famed violet hue. Orbital facilities use the compounds in high-energy stardrive research
Prophecy of Kings;Perimeter;Industrial;;2;1;;;Former garrison world with fond memories of the Lazax. Maintains formidable military with informal ties to the Winnu. Perpendicular rings make orbital navigation difficult
Prophecy of Kings;Ang;Industrial;;2;0;Red;;High rotational speed creates extremely energized magnetosphere. Orbital taps use this to energize starship fuels and power labs developing new beam weapons
Prophecy of Kings;Sem-Lore;Cultural;;3;2;Yellow;;Home to the Semanora, and heavily damaged in the Twilight Wars. Rustling warship hulks litter the rod-deserts, making it a war memorial and salvage site
Prophecy of Kings;Vorhal;Cultural;;0;2;Green;;This icy world is wreathed by powerful storms, forcing inhabitants to live underground in geothermal vents. Pacifistic locals award yearly "peace prizes" to peacemakers across the galaxy
Prophecy of Kings;Atlas;Hazardous;;3;1;;;Heavy grav world and former Sol colony famed for squat, strong inhabitants and strategic location. Visitors need support exoskeletons to move on the surface
Prophecy of Kings;Primor;Cultural;Yes;2;1;;You may exhaust this card at the end of your turn to place up to 2 infantry from your reinforcements on any planet you control;Large temperate world. Site of several pitched battles during the Twilight Wars due to valuable osmium deposits and a well- educated populace
Prophecy of Kings;Hope's End;Hazardous;Yes;3;0;;You may exhaust this card at the end of your turn to place 1 mech from your reinforcements on any planet you control, or draw 1 action card;Buried in the Ichal Nebula. The Lazax used the toxic wildlife and fierce aurora storms to train their troops. Even now, volatile weapon caches remain hidden beneath its sands.
Prophecy of Kings;Mallice;Cultural;Yes;0;3;;You may exhaust this card at the end of your turn to gain 2 trade goods or convert all of your commodities into trade goods;Trapped in a space believed to be beyond our universe, a shimmering world of strange energies and disconcerting warping of physical laws sitting at the heart of a strategically vital wormhole nexus.
Prophecy of Kings;Mirage;Cultural;Yes;1;2;;You may exhaust this card at the end of your turn to place up to 2 fighters from your reinforcements in any system that contains 1 or more of your ships;Exists on no known charts and appears deserted to those who stumble across it. However, secretive local live in cloaked cities heavily defended by swarms of starfighters.
Prophecy of Kings;Cormund;Hazardous;;2;0;;;A remote and sparsely settled Naaz-Rokha world destroyed during early entropic field tests. Now mining corporations harvest metals from the shattered core
